epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,4592.02,0.75733,0.55753,0.85657,0.87645,0.51008,0.63693,0.31188,0.98751,0.87536,0.94752,0.000137143,0.000137143,0.000137143
117,4633.09,0.78821,0.60206,0.86666,0.65898,0.64046,0.65603,0.31774,0.97954,0.86942,0.94701,0.000130287,0.000130287,0.000130287
118,4669.9,0.75056,0.56097,0.8547,0.85835,0.4654,0.64275,0.32773,0.98069,0.89685,0.94688,0.000123596,0.000123596,0.000123596
119,4714.81,0.80073,0.59669,0.862,0.8751,0.47712,0.5892,0.31572,0.97897,0.87876,0.94907,0.000117072,0.000117072,0.000117072
120,4747.02,0.75068,0.55804,0.85252,0.87505,0.47085,0.58128,0.30448,0.97338,0.85554,0.94537,0.000110718,0.000110718,0.000110718
121,4787.67,0.74081,0.5545,0.85443,0.77536,0.49336,0.56995,0.30167,0.99012,0.8661,0.95188,0.000104537,0.000104537,0.000104537
122,4825.51,0.77175,0.56859,0.85848,0.74277,0.50374,0.58256,0.301,0.97805,0.86042,0.94859,9.85311e-05,9.85311e-05,9.85311e-05
123,4866.02,0.76799,0.58576,0.85798,0.8151,0.47507,0.56297,0.30605,0.96682,0.85732,0.94385,9.2704e-05,9.2704e-05,9.2704e-05
124,4913.07,0.75588,0.55874,0.84908,0.82864,0.52578,0.57731,0.30793,0.97406,0.88495,0.94665,8.70577e-05,8.70577e-05,8.70577e-05
125,4944.58,0.74286,0.55885,0.84975,0.84665,0.52833,0.58621,0.31017,0.97303,0.86998,0.94691,8.15947e-05,8.15947e-05,8.15947e-05
126,4982.75,0.77997,0.58675,0.85895,0.85025,0.53161,0.58497,0.30978,0.97858,0.87681,0.94844,7.63174e-05,7.63174e-05,7.63174e-05
127,5019.83,0.74193,0.54613,0.85432,0.85871,0.52882,0.58285,0.31396,0.9648,0.85514,0.9447,7.12282e-05,7.12282e-05,7.12282e-05
128,5056.93,0.77358,0.57088,0.85605,0.84319,0.53533,0.6137,0.31252,0.96643,0.85657,0.94512,6.63292e-05,6.63292e-05,6.63292e-05
129,5101.46,0.74043,0.54406,0.85164,0.84558,0.53938,0.58756,0.31096,0.966,0.86892,0.94308,6.16227e-05,6.16227e-05,6.16227e-05
130,5134.37,0.76929,0.58345,0.86095,0.87407,0.52558,0.60589,0.32635,0.96132,0.87162,0.94338,5.71106e-05,5.71106e-05,5.71106e-05
131,5170.76,0.7524,0.56415,0.85424,0.87535,0.51783,0.65835,0.32983,0.97249,0.86813,0.9482,5.2795e-05,5.2795e-05,5.2795e-05
132,5207.18,0.74046,0.5385,0.84858,0.87041,0.52462,0.66449,0.32104,0.97611,0.86691,0.94806,4.86777e-05,4.86777e-05,4.86777e-05
133,5243.57,0.74979,0.55417,0.85526,0.857,0.52915,0.60345,0.32169,0.96425,0.86912,0.94646,4.47606e-05,4.47606e-05,4.47606e-05
134,5281.61,0.74669,0.56198,0.85563,0.85146,0.53443,0.58943,0.3165,0.9662,0.86214,0.94597,4.10454e-05,4.10454e-05,4.10454e-05
